id,"code",location_id,county_id
38677,"36276",NULL,56
38678,"36277",NULL,8
38679,"36278",NULL,56
38680,"36279",NULL,8
38681,"36280",NULL,56
38682,"36301",NULL,35
38683,"36302",NULL,35
38684,"36303",NULL,35
38685,"36304",NULL,35
38686,"36305",NULL,35
38687,"36310",NULL,34
38688,"36311",NULL,23
38689,"36312",NULL,35
38690,"36313",NULL,31
38691,"36314",NULL,31
38692,"36316",NULL,31
38693,"36317",NULL,34
38694,"36318",NULL,31
38695,"36319",NULL,34
38696,"36320",NULL,35
38697,"36321",NULL,35
38698,"36322",NULL,23
38699,"36323",NULL,16
38700,"36330",NULL,16
38701,"36331",NULL,16
38702,"36340",NULL,31
38703,"36343",NULL,35
38704,"36344",NULL,31
38705,"36345",NULL,34
38706,"36346",NULL,16
38707,"36349",NULL,31
38708,"36350",NULL,23
38709,"36351",NULL,16
38710,"36352",NULL,23
38711,"36353",NULL,34
38712,"36360",NULL,23
38713,"36361",NULL,23
38714,"36362",NULL,23
38715,"36370",NULL,35
38716,"36371",NULL,23
38717,"36373",NULL,34
38718,"36374",NULL,23
38719,"36375",NULL,31
38720,"36376",NULL,35
38721,"36401",NULL,18
38722,"36420",NULL,20
38723,"36421",NULL,20
38724,"36425",NULL,50
38725,"36426",NULL,27
38726,"36427",NULL,27
38727,"36429",NULL,18
38728,"36432",NULL,18
38729,"36435",NULL,66
38730,"36436",NULL,13
38731,"36439",NULL,50
38732,"36441",NULL,27
38733,"36442",NULL,20
38734,"36444",NULL,50
38735,"36445",NULL,50
38736,"36446",NULL,13
38737,"36449",NULL,50
38738,"36451",NULL,13
38739,"36453",NULL,16
38740,"36454",NULL,18
38741,"36455",NULL,20
38742,"36456",NULL,7
38743,"36457",NULL,50
38744,"36458",NULL,50
38745,"36460",NULL,50
38746,"36461",NULL,50
38747,"36462",NULL,50
38748,"36467",NULL,20
38749,"36470",NULL,50
38750,"36471",NULL,50
38751,"36473",NULL,18
38752,"36474",NULL,20
38753,"36475",NULL,18
38754,"36476",NULL,20
38755,"36477",NULL,31
38756,"36480",NULL,50
38757,"36481",NULL,50
38758,"36482",NULL,13
38759,"36483",NULL,20
38760,"36501",NULL,13
38761,"36502",NULL,27
38762,"36503",NULL,27
38763,"36504",NULL,27
38764,"36505",NULL,49
38765,"36507",NULL,2
38766,"36509",NULL,49
38767,"36511",NULL,2
38768,"36512",NULL,49
38769,"36513",NULL,65
38770,"36515",NULL,13
38771,"36518",NULL,65
